             Unroll
 +-----------------------------------------------------------------------+
 | SS |  1     2     3     4     5     6     7     8     9     10    12  |
 |    +------------------------------------------------------------------+
 | 1  |  4.97  4.98  4.98  4.97  4.97  4.98  4.98  4.98  4.97  4.98      |
 | 2  |        2.49        2.49                    2.49                  |
 | 3  |              1.66                                                |
 | 4  |                    1.24                    1.24                  |
 | 5  |                          1.00                                    |
 | 6  |                                1.01                          1.01|
 | 7  |                                      1.01                        |
 | 8  |                                            1.01                  |
 | 9  |                                                  1.01            |
 | 10 |                                                        1.01      |
 | 12 |                                                              1.01|
 +-----------------------------------------------------------------------+
