             Unroll
 +-----------------------------------------------------------------------+
 | SS |  1     2     3     4     5     6     7     8     9     10    12  |
 |    +------------------------------------------------------------------+
 | 1  |  2.98  2.98  2.98  2.98  2.98  2.98  2.98  2.98  2.98  2.98      |
 | 2  |        1.49        1.49                    1.50                  |
 | 3  |              1.00                                                |
 | 4  |                    1.01                    1.02                  |
 | 5  |                          1.01                                    |
 | 6  |                                1.02                          1.01|
 | 7  |                                      1.02                        |
 | 8  |                                            1.02                  |
 | 9  |                                                  1.02            |
 | 10 |                                                        1.01      |
 | 12 |                                                              1.02|
 +-----------------------------------------------------------------------+
