             Unroll
 +-----------------------------------------------------------------------+
 | SS |  1     2     3     4     5     6     7     8     9     10    12  |
 |    +------------------------------------------------------------------+
 | 1  |  4.00  4.00  4.00  4.00  4.00  4.00  4.00  4.00  4.00  4.00      |
 | 2  |        2.00        2.00                    2.00                  |
 | 3  |              1.33                                                |
 | 4  |                    1.00                    1.01                  |
 | 5  |                          1.01                                    |
 | 6  |                                1.01                          1.01|
 | 7  |                                      1.01                        |
 | 8  |                                            1.01                  |
 | 9  |                                                  1.02            |
 | 10 |                                                        1.00      |
 | 12 |                                                              1.00|
 +-----------------------------------------------------------------------+
