             Unroll
 +-----------------------------------------------------------------------+
 | SS |  1     2     3     4     5     6     7     8     9     10    12  |
 |    +------------------------------------------------------------------+
 | 1  |  3.00  3.00  3.00  3.00  3.00  3.00  3.00  3.00  3.00  3.00      |
 | 2  |        1.50        1.50                    1.51                  |
 | 3  |              1.00                                                |
 | 4  |                    1.00                    1.02                  |
 | 5  |                          1.01                                    |
 | 6  |                                1.02                          1.03|
 | 7  |                                      1.02                        |
 | 8  |                                            1.02                  |
 | 9  |                                                  1.02            |
 | 10 |                                                        1.03      |
 | 12 |                                                              1.02|
 +-----------------------------------------------------------------------+
