             Unroll
 +-----------------------------------------------------------------------+
 | SS |  1     2     3     4     5     6     7     8     9     10    12  |
 |    +------------------------------------------------------------------+
 | 1  |  2.00  1.50  1.01  1.02  2.00  2.00  2.00  2.00  2.00  2.00      |
 | 2  |        1.50        1.01                    1.01                  |
 | 3  |              1.01                                                |
 | 4  |                    1.01                    1.03                  |
 | 5  |                          1.01                                    |
 | 6  |                                1.02                          1.03|
 | 7  |                                      1.03                        |
 | 8  |                                            1.03                  |
 | 9  |                                                  1.03            |
 | 10 |                                                        1.03      |
 | 12 |                                                              1.03|
 +-----------------------------------------------------------------------+
